"","image_2","image_1","worker_id","trial_index","time_elapsed","start_time","experiment_order","rt","experiment","response","phase","stimulus","correct","question_order","talk_out_loud","strategy_free_ans","cor_key","type","VerbalScored","VisualScored","high_low_verbal","name_agreement_img1","name_agreement_img2","trial_no_ptcp"
"1","visual/beer.png","visual/claw.png","A26RO8GGTQAXGG",19,152751,2022-05-23 17:52:31,"rhyme-same_different-task_switching-phon_sim",2192.40000009537,"rhyme","arrowdown","experiment","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/claw.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/beer.png"" width=""300""></div>",1,NA,"No","some were hard to tell what they were supposed to be","arrowdown","NR",1.42,2.7,"low_verbal",0.55,0.75,1
"2","visual/beer.png","visual/deer.png","AMNUNZ65OSTFO",19,89914,2022-05-18 15:17:28,"rhyme-task_switching-same_different-phon_sim",2007.4,"rhyme","arrowup","experiment","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/deer.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/beer.png"" width=""300""></div>",1,NA,"No","I said the pictures in my head before choosing.","arrowup","ortho",1.75,3.9,"low_verbal",0.65,0.75,1
"3","visual/bell.png","visual/well.png","A3I40B0FATY8VH",19,49754,2022-09-26 16:25:20,"rhyme-task_switching-same_different-phon_sim",2392.19999999553,"rhyme","arrowup","experiment","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/well.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/bell.png"" width=""300""></div>",1,NA,"No","No, I just said it in my head rather than out loud.","arrowup","ortho",4.75,4.5,"high_verbal",0.95,0.9,1
"4","visual/bread.png","visual/bed.png","A2OVWCQ4B9AHFY",19,279830,2022-05-27 01:29:15,"rhyme-phon_sim-same_different-task_switching",2482.69999999925,"rhyme","arrowup","experiment","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/bed.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/bread.png"" width=""300""></div>",1,NA,"No","I said it in my head ""aloud"".","arrowup","non-ortho",2.42,4.6,"low_verbal",0.95,0.9,1
"5","visual/chair.png","visual/drawer.png","79580",19,78350,2022-09-30 23:39:35,"rhyme-task_switching-phon_sim-same_different",4610.79999995232,"rhyme","arrowdown","experiment","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/drawer.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/chair.png"" width=""300""></div>",1,NA,"No","I always viewed the picture on the left first","arrowdown","NR",3,3.5,"low_verbal",0.8,0.95,1
"6","visual/clock.png","visual/brain.png","77763",19,86236,2022-10-01 21:54:26,"rhyme-task_switching-same_different-phon_sim",2578.89999999851,"rhyme","arrowdown","experiment","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/brain.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/clock.png"" width=""300""></div>",1,NA,"Yes","N/A","arrowdown","NR",3,3.8,"low_verbal",0.95,0.95,1
"7","visual/cone.png","visual/bone.png","A1JJYY622DGE5L",19,44800,2022-05-18 16:04:26,"rhyme-same_different-phon_sim-task_switching",1231.5,"rhyme","arrowup","experiment","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/bone.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/cone.png"" width=""300""></div>",1,NA,"No","I said the words in my head.","arrowup","ortho",4.67,4.4,"high_verbal",0.95,0.7,1
"8","visual/cone.png","visual/bone.png","79188",19,95732,2022-10-05 03:34:39,"rhyme-phon_sim-same_different-task_switching",1980.90000009537,"rhyme","arrowup","experiment","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/bone.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/cone.png"" width=""300""></div>",1,NA,"Yes","Try to connect the two picture into one and say their combination","arrowup","ortho",3.08333333333333,3.2,"low_verbal",0.95,0.7,1
"9","visual/crab.png","visual/spoon.png","AKR9067Q09RZS",19,201447,2022-05-19 23:47:25,"rhyme-same_different-task_switching-phon_sim",1365,"rhyme","arrowdown","experiment","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/spoon.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/crab.png"" width=""300""></div>",1,NA,"Yes","I tried to quickly reference in my mind if I had heard the two words referenced together in rhyme before. I also tried to think ahead about what rhymed with certain words.","arrowdown","NR",5,4.8,"high_verbal",1,0.95,1
"10","visual/door.png","visual/tree.png","AXPZAP62ZYWP8",19,59525,2022-09-26 16:41:02,"rhyme-task_switching-phon_sim-same_different",1935.20000004768,"rhyme","arrowdown","experiment","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/tree.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/door.png"" width=""300""></div>",1,NA,"Yes","no","arrowdown","NR",4.16666667,4.1,"high_verbal",0.85,0.95,1
